turn,context_tokens,cumulative_tokens,turn_tokens,prompt_tokens,completion_tokens,recall,compaction_event
1,10,204,204,10,194,1.0,0
2,10,494,290,20,270,1.0,0
3,10,972,478,30,448,1.0,0
4,10,1445,473,30,443,1.0,0
5,10,2006,561,30,531,1.0,0
6,10,2562,556,30,526,1.0,0
7,10,3150,588,30,558,1.0,0
8,10,3975,825,30,795,0.6666666666666666,0
9,10,4977,1002,30,972,0.3333333333333333,0
10,10,6073,1096,30,1066,0.0,0
11,10,6997,924,30,894,0.0,0
12,10,8173,1176,30,1146,0.0,0
